id,doha_hi,doha_en,meaning_en
12,"चलती चक्की देख कर, दिया कबीरा रोय।
दुइ पाटन के बीच में, साबुत बचा न कोय।।","Seeing the grinding mill in motion, Kabir weeps.
Between the two grinding stones, nothing remains intact.","Reflects on the inevitability of change and the impermanence of life, urging the need to focus on the eternal and spiritual aspects."
13,"आवत जावत हरि के द्वारा, मिलत नहीं विचार।
कबीर उदय के बचन कहे, जिन पाया बिचार।।","Coming and going to the Lord's door, one cannot find contemplation.
Kabir speaks of the words of wisdom, only by which contemplation is attained.",Encourages sincere spiritual practice and contemplation in order to attain true wisdom and understanding.
14,"गुरु गोविन्द दोऊ खड़े, काके लागूं पाय।
बलिहारी गुरु आपने, गोविन्द दियो मिलाय।।","Guru and Govind (God) both stand before me, whose feet should I touch first? I am grateful to my Guru, who has led me to the divine.",Emphasizes the importance of a true spiritual teacher in guiding and helping one reach the divine.
15,"राम नाम का लंबा लगान, देखा नहीं दूजा।
कबीरा सोई धनी भया, जा को लगा लगान।।","The long-lasting bond of Ram's name, I see no other.
Kabir says, the one who is bound to this bond becomes truly wealthy.","Stresses the importance of devotion and faith in God, which brings true spiritual wealth and inner fulfillment."
16,"काल करे सो आज कर, आज करे सो अब।
पल की बादहवासी, बहुरि करेगा कब।।","Do tomorrow's work today, and today's work now.
If you become careless even for a moment, when will you do it again?","Encourages being proactive and not procrastinating, as time is fleeting and uncertain."
17,"कबीर मन निर्मल भया, जैसा गंगा नीर।
पछे पछे हरि फिरे, कहत कबीर कबीर।।","Kabir's mind became pure, like the water of the Ganges.
God follows him everywhere, saying 'Kabir, Kabir'.",Emphasizes the importance of purifying one's mind and heart to attract divine grace and blessings.
18,"साधो यह मुर्दों का गांव, प्रेम न पीर न जान।
यहाँ प्रेम बिन सब निरा, कबीरा करत विलान।।","O seekers, this is the village of the dead, where love and pain are unknown.
Without love, everything is empty.
Kabir condemns such a state.","Urges spiritual seekers to embrace love and compassion, as they are vital to experiencing a truly meaningful life."
19,"जैसी करनी वैसी भरनी, अब कैसे दूर जाय।
कबीर गए बिना रोगी, नहीं सुधे मलिन बाय।।","As you sow, so shall you reap; how can you escape now? Kabir says, without curing the disease, the impure arm cannot be healed.",Highlights the principle of karma and the importance of taking responsibility for one's actions and their consequences.
20,"सुख के सब साथी, दुख में ना कोई।
मेरे राम, सब जगत के संचो ठौर न होई।।","In happiness, everyone is a companion, but in sorrow, no one is there.
O my Ram, in the whole world, there is no shelter other than You.",Reminds us of the transient nature of worldly relationships and emphasizes seeking shelter in the divine for true solace and support.
21,"दुख में सुमिरन सब करे, सुख में करै न कोय।
जो सुख में सुमिरन करे, दुख काहे को होय।।","Everyone remembers God in times of sorrow, but not in happiness.
One who remembers God in happiness, why would they experience sorrow?","Encourages remembering and connecting with the divine in both good and bad times, as it provides inner strength and stability."
22,"सांच बराबर तप नहीं, झूठ बराबर पाप।
जाके हिरदय मं साचा, अंतर कपट किन काप।।","There is no penance equal to truth, and no sin equal to falsehood.
Whose heart is truthful, deceit in them trembles.","Emphasizes the importance of being truthful and sincere in one's thoughts, words, and actions, as it leads to spiritual growth and inner peace."
23,"कबीर कुआँ एक है, पानी भरे अनेक।
भेदा भरें सो भेदी, जल की ले एक।।","Kabir says there is one well, but water is drawn by many.
The one who understands the secret, takes only the essence.",Encourages focusing on the essence and unity of existence rather than being caught up in superficial differences and distinctions.
24,"बुरा जो देखन मैं चला, बुरा न मिलिया कोय।
जो मन खोजा आपना, मुझसे बुरा न कोय।।","I set out to find the bad in others, but I couldn't find any.
When I searched within myself, I found no one worse than me.","Reminds us to reflect on our own shortcomings and work on self-improvement, rather than focusing on the faults of others."
25,"कबीरा खड़ा बाजार में, मांगे सबकी खैर।
न काहू से दोस्ती, न काहू से बैर।।","Kabir stands in the marketplace, wishing well for all.
He is friends with none, and enemies with none.","Promotes the idea of universal love and compassion, treating all beings equally and without any bias or prejudice."
26,"चिंता ऐसी डाकिनी, काट करे करजा।
उठि सुख सैंय बिदारी, बैठि चिंता दरजा।।","Worry is such a demon that it eats away at your heart.
It displaces happiness and takes its place.","Encourages letting go of worries and anxiety, as they harm one's well-being and hinder the experience of happiness."
27,"मोको कहाँ ढूँढे बंदे, मैं तो तेरे पास में।
ना तीरथ में ना मूरत में, ना एकांत निवास में।।","O human, why do you search for me? I am right beside you.
I am not in pilgrimages, nor in idols, nor in solitary living.",Reminds us that the divine is always present within us and that external rituals and practices are not the only means to connect with it.
28,"दुआया के बेर लगा है, दुआया का खाऊ।
बिना दुआया के बेर करूं, तो कैसे निभाऊ।।","I am attached to the fruits of my actions, and I consume them.
Without attaching myself to the fruits, how can I sustain?","Encourages detachment from the results of our actions, as attachment to outcomes can lead to suffering and hinder spiritual growth."
29,"अवधू माया तजी ना जाय, ताहि राम न पाय।
जब लग जीवन धन संगी, तब लग निर्वय न आय।।","O seeker, you cannot give up attachment to worldly illusions and attain Ram.
As long as you are attached to life and wealth, you will not attain fearlessness.",Stresses the importance of transcending material attachments and desires to attain spiritual liberation and fearlessness.
30,"जाति न पूछो साधु की, पूछ लीजिए ग्यान।
मोल करो तलवार का, पड़ा रहने दो म्यान।।","Do not ask the caste of a saint, inquire about their wisdom.
Assess the value of a sword, let the scabbard be.","Encourages valuing people based on their wisdom and character, rather than their caste or social status, as true worth lies in one's knowledge and virtues."
31,"चिंता ऐसी डाकिनी, काट करे करजा।
उठि सुख सैंय बिदारी, बैठि चिंता दरजा।।","Worry is such a demon that it eats away at your heart.
It displaces happiness and takes its place.","Encourages letting go of worries and anxiety, as they harm one's well-being and hinder the experience of happiness."
32,"मोको कहाँ ढूँढे बंदे, मैं तो तेरे पास में।
ना तीरथ में ना मूरत में, ना एकांत निवास में।।","O human, why do you search for me? I am right beside you.
I am not in pilgrimages, nor in idols, nor in solitary living.",Reminds us that the divine is always present within us and that external rituals and practices are not the only means to connect with it.
33,"दुआया के बेर लगा है, दुआया का खाऊ।
बिना दुआया के बेर करूं, तो कैसे निभाऊ।।","I am attached to the fruits of my actions, and I consume them.
Without attaching myself to the fruits, how can I sustain?","Encourages detachment from the results of our actions, as attachment to outcomes can lead to suffering and hinder spiritual growth."
34,"अवधू माया तजी ना जाय, ताहि राम न पाय।
जब लग जीवन धन संगी, तब लग निर्वय न आय।।","O seeker, you cannot give up attachment to worldly illusions and attain Ram.
As long as you are attached to life and wealth, you will not attain fearlessness.",Stresses the importance of transcending material attachments and desires to attain spiritual liberation and fearlessness.
35,"जाति न पूछो साधु की, पूछ लीजिए ग्यान।
मोल करो तलवार का, पड़ा रहने दो म्यान।।","Do not ask the caste of a saint, inquire about their wisdom.
Assess the value of a sword, let the scabbard be.","Encourages valuing people based on their wisdom and character, rather than their caste or social status, as true worth lies in one's knowledge and virtues."
36,"करतल कमल करुणा रूप, हृदय अगम जल धार।
जब ही जठर अगिनि प्रगटे, तब ही कबीर अवतार।।","With hands like lotus flowers, showing compassion, and a heart like an unfathomable stream of water.
When the fire of hunger manifested, Kabir incarnated.",Depicts the compassionate nature of Kabir and suggests that his purpose is to alleviate the suffering of others.
37,"कबीर गरब न कीजिए, उचा देखि देस।
काल खड़ा बांगुर मुख, देसे कहै खैस।।","Kabir, do not be arrogant when you see high positions.
Death stands with a noose in its mouth, asking, 'What is the state of affairs?'","Warns against arrogance and pride, reminding us of the inevitability of death, which is a great leveler."
38,"माटी कहे कुम्हार से, तू क्या रोंदे मोय।
एक दिन ऐसा आएगा, मैं रौंदूंगी तोय।।","Clay says to the potter, 'Why do you knead me? One day will come when I will knead you.","Highlights the transient nature of life and the inevitability of death, urging us to be mindful of our actions and the impermanence of our existence."
39,"भूखे भजन न होत गोपाला, भूखे सोवत न जाग।
भूखे लाख जपे हरि नाम, होई न मुक्ति का भाग।।","God cannot be worshiped on an empty stomach, one cannot stay awake or sleep when hungry.
Even if you recite God's name a hundred thousand times while hungry, you won't attain liberation.","Emphasizes the importance of fulfilling basic needs, such as hunger, before focusing on spiritual pursuits, as it is difficult to concentrate on higher goals when one's basic needs are unmet."
40,"पोथी पढ़ि पढ़ि जग मुआ, पंडित भया न कोय।
ढाई आखर प्रेम का, पढ़े सो पंडित होय।।","Reading books, the world has died, but none have become wise.
The one who reads the two and a half letters of love becomes truly wise.",Emphasizes that mere intellectual knowledge gained from books isn't enough to make one wise; true wisdom comes from understanding and practicing love and compassion in one's life.
41,"साधु संगति सब काज सिधावे, दरगह परवान।
तुलसी साधु संग छूटे, सगल जम की फाँस।।","The company of saints fulfills all tasks and is accepted at the divine court.
Tulsidas says, through the company of saints, one escapes the noose of death.","Emphasizes the importance of being in the company of spiritually evolved people, as their guidance and influence can help one overcome the cycle of birth and death."
42,"कबीर निंदक नियारे राखिए, अंग कुठार।
छार कटि मिलै गया, कबहुँ न बढ़ई बार।।","Kabir, keep critics close, like a whetstone for your knife.
The knife's steel is sharpened, and it never increases in size.","Encourages embracing criticism as a means to improve oneself and grow, rather than rejecting or dismissing it."
43,"बिगरी बनावत बनावन हार।
बिना गुरु ग्यान कब होई न भावन हार।।","The creator can mend the broken.
Without a Guru's wisdom, one can never be reformed.",Emphasizes the importance of a spiritual guide or Guru in one's life to help reform and improve oneself on the path to spiritual growth.
44,"माया मरणी न जानै, कछु बेद न ब्राह्मण।
कहै कबीर सुनो भाई साधो, ये जग बौराना।।","Neither Maya nor the priest knows the secret of death.
Kabir says, listen, O virtuous people, this world is insane.","Highlights the limitations of worldly knowledge and the ephemeral nature of life, urging us to seek the eternal truths beyond the illusion of Maya."
45,"चलता चक्रवर्ति देखिए, रह जाय कचू न हाथ।
आदि अंत नहिं मिलै, जगत बिचरत राथ।।","Observe the moving wheel of life, nothing remains in hand.
Neither beginning nor end is found, as the world is like a chariot in motion.","Draws attention to the transient nature of life and material possessions, reminding us to focus on eternal truths and not become attached to impermanent things."
46,"दुःख में सुमिरन सब करे, सुख में करै न कोय।
जो सुख में सुमिरन करे, दुःख काहे को होय।।","Everyone remembers God in times of sorrow, but none do so in happiness.
If one remembers God in happiness, why would sorrow ever occur?","Encourages the practice of constant remembrance of the divine, even in times of happiness, as a means to prevent suffering and maintain a balanced state of mind."
47,"गुरु की करनी गुरु जाने, चेला करनी चेल।
कहै कबीर हम तो छूटे, बाकी बंधे चेल।।","The Guru knows the Guru's actions, and the disciple knows the disciple's actions.
Kabir says, I am free, and the remaining disciples are bound.","Emphasizes that each individual is responsible for their own actions and spiritual growth, and freedom comes from recognizing and taking charge of one's own journey."
48,"बारा मासा कर कर्म, दशमी को व्रत धरै।
कहै कबीर वहां न जाईये, कहा करै बिगार।।","Performing actions for twelve months and observing a fast on the tenth day.
Kabir says, do not go there, what harm can it do?","Questions the value of ritualistic practices performed without genuine spiritual intent or understanding, suggesting that true spiritual growth comes from self-realization and inner transformation."
49,"कबीरा जब हम पैदा हुए, जग हंसे हम रोये।
ऐसी करनी कर चलो, हम हंसे जग रोये।।","Kabir, when we were born, the world laughed as we cried.
Let us do such deeds that when we leave, we laugh and the world cries.","Encourages living a life of virtue and compassion, so that when we depart from this world, our positive impact on others causes them to mourn our passing, while we depart joyfully."
50,"मानस प्रीति बहु दिन बिति, किये किरिया अनेक।
अब कैसे चूटै मोहि, करी करावल भेक।।","The love of the mind has passed many days, and many rituals have been performed.
Now, how can I be free, having done so many acts of deceit?","Questions the effectiveness of rituals and superficial practices in attaining spiritual liberation, suggesting that true freedom comes from genuine devotion and inner transformation."
51,"कबीरा तेरी झोपड़ी, गल कटियान के पास।
जो करे गया गुज़ारी, सो तोय घर की आस।।","Kabir, your hut is near the butcher's lane.
Whatever has passed is gone, and now there is hope for your home.","Reflects on the proximity of spiritual aspiration to the harsh realities of life, suggesting that one's hope and progress depend on embracing the present moment and moving forward."
52,"जो तोको काटत हाथ, तोहि काटत नाक।
कहै कबीर वहां न जाईये, जहां भयो सब बाक।।","The one who cuts your hand also cuts your nose.
Kabir says, do not go where everyone is scared.","Advises against indulging in harmful or destructive activities and associating with negative influences, as they can lead to fear and suffering."
53,"गंगा गये गंगा दास, जमुना गये जमुना दास।
तीन लोक की सैर करें, कहत कबीरा दास।।","Those who go to the Ganges become devotees of Ganga, and those who go to the Yamuna become devotees of Yamuna.
They wander the three worlds, says Kabir, the servant.","Suggests that people often become attached to specific places or rituals in their spiritual pursuits, and as a result, they miss the true essence of spirituality, which transcends these physical and temporal limitations."
54,"अजहूं जगत देखत हैं, बोलत सब कुछ।
मरै कबीरा दस दिस, दुनिया कहे कुछ।।","While living, Kabir observes the world and speaks about everything.
When Kabir dies after ten days, the world will say something.","Highlights the transient nature of life and the inevitability of death, reminding us that our actions and words have an impact on the world, even after we are gone."
55,"अच्छा जीवन है जीवन जीवन, बुरा जीवन है मरण।
जब हम होत नहीं बांधवा, तो हम कहैं कोय मरण।।","A good life is living, and a bad life is dying.
When we are not bound, who can say that we are dying?","Encourages living life to its fullest and embracing the present, free from the bonds of attachment and fear of death. When one is not bound by worldly attachments, the concept of death loses its power and significance."
56,"कबीरा खड़ा बाजार में, मांगे सबकी खैर।
न काहू से दोस्ती, न काहू से बैर।।","Kabir stands in the marketplace, wishing well for everyone.
Neither friendship nor enmity with anyone.","Encourages maintaining equanimity and goodwill towards all, regardless of their relationship to us, as a means to cultivate a balanced and harmonious state of mind."
57,"कबीरा करता राम नाम, लोग कहत कबीरा।
कबीरा छोड़े राम नाम, कहैं कबीरा कबीरा।।","Kabir chants the name of Ram, and people call him Kabir.
If Kabir leaves the name of Ram, they will say Kabir, Kabir.","Highlights the importance of staying true to one's spiritual path and not becoming attached to praise or criticism from others. People may call us by different names or judge us, but our spiritual focus should remain unwavering."
58,"कबीरा की गति निराली, छोड़ी सगल तटाय।
जो चाहै सो तुरंत करे, नहीं तो राम रमाय।।","Kabir's state is unique, as he has left behind all shores.
Whatever he desires, he does it instantly; otherwise, he is absorbed in Ram.","Describes the exceptional spiritual state of Kabir, who has transcended worldly attachments and acts with spontaneity and freedom, always absorbed in the divine presence."
59,"कबीरा ऐसा कोई नहीं, जो राम नाम न लेय।
बिना राम नाम कोऊ, न चलता न खेय।।","There is no one like Kabir who does not take the name of Ram.
Without the name of Ram, no one can walk or eat.","Emphasizes the importance of remembering and invoking the divine in one's life as a means to spiritual growth and sustenance, suggesting that without this connection, we cannot truly thrive."
60,"कबीरा गुरु बिन मर जाए, चेला बिन मर जाए।
दोनों मरे तो बहुत होय, एक मरे सो थोड़ी बाए।।","Kabir says, if the Guru dies without a disciple, and the disciple dies without a Guru, it is better if both die.
If only one dies, there is still some hope.","Emphasizes the reciprocal relationship between a Guru and disciple in the spiritual journey. Both the Guru and disciple are essential for spiritual growth, and the loss of both would be detrimental. If either the Guru or disciple remains, there is still hope for the continuation and transmission of spiritual knowledge."
61,"कबीरा सोई पीर है, जो जाने परजा।
जो परजा नहीं जानत, हर दिन होय खजा।।","Kabir is the true saint who knows the people.
Those who do not understand the people suffer every day.","A true spiritual leader is one who understands and empathizes with the people they guide. Without this understanding, one may face difficulties and suffering in their efforts to help others."
62,"कबीरा सोई कुता भला, जो घर का बारा।
एक न एक दिन आवत, देय उसको चारा।।","Kabir says, a good dog is one who guards the house.
It comes one day or another, and you give it food.","The doha emphasizes the value of loyalty and dedication. Just as a good dog guards its owner's house and receives care in return, a dedicated person will be rewarded for their efforts and commitment."
63,"कबीरा सोई साधु है, जो काटे अपनी दाल।
बंधु काटे दुर्जन के, तो होय बड़ी विघाल।।","Kabir is the true saint who cuts his own branch.
If one cuts the branch of a wicked person, it leads to great trouble.","This doha emphasizes the importance of self-awareness and self-improvement. A true saint focuses on correcting their own shortcomings rather than trying to change others, as interfering in others' lives can lead to difficulties and conflict."
64,"कबीरा सोई साधु है, जो सबके साथ खेले।
जो सबके साथ न खेले, सो साधु नहीं कहले।।","Kabir is the true saint who plays with everyone.
One who does not play with everyone is not considered a saint.","A true spiritual leader or saint is one who interacts with people from all walks of life without discrimination, fostering a sense of unity and compassion. Those who exclude others cannot be considered genuine spiritual guides."
65,"कबीरा सोई साधु है, जो सम दृष्टि होय।
पारस भेद न करिये, जो छूए सो सुवर्ण होय।।","Kabir is the true saint who has an equal vision.
Do not discriminate like the philosopher's stone, which turns everything it touches into gold.","A true saint sees everyone as equal and does not discriminate based on caste, creed, or social status. This doha encourages us to be like the philosopher's stone, which turns everything it touches into gold, treating everyone with equal respect and love, just as the philosopher's stone turns everything it touches into gold without discrimination."
66,"कबीरा सोई संत है, जो सबके हितकारी।
स्वारथ छोड़ि दूजे का, करे सुख विस्तारी।।","Kabir is the true saint who works for the welfare of all.
Leaving self-interest, they spread happiness for others.","A true saint is selfless and dedicated to the well-being of others, setting aside personal desires to focus on the happiness and growth of those around them."
67,"कबीरा तेरी जम्नी, अति काली जमुना।
ताती गंगा जल से, जम के दोष मिट जाय।।","Kabir, your Yama's noose is extremely dark, like the Yamuna river.
With the holy Ganga water, the faults of Yama are washed away.","This doha highlights the power of faith and devotion to overcome the fear of death and the cycle of birth and rebirth. The darkness of Yama's noose represents the fear of death, while the purifying waters of the Ganga symbolize devotion and spiritual practice that can cleanse and liberate the soul."
68,"कबीरा उस घर ते भागे, जहां नाम न कोई।
जहां नाम का सुमिरन होय, तहां सतगुरु सोई।।","Kabir runs away from the house where there is no mention of the divine name.
Where the divine name is remembered, there resides the true Guru.",Kabir emphasizes the importance of being in the company of those who remember and invoke the divine name. It is in such an environment that one can find true spiritual guidance and growth.
69,"कबीरा जब हम पैदा हुए, जग हंसे हम रोये।
ऐसी करनी कर चलो, हम हंसे जग रोये।।","Kabir, when we were born, the world laughed while we cried.
Do such deeds that when we leave, we laugh and the world cries.","The doha encourages us to live a life of such virtue and significance that when we depart from this world, we leave behind a lasting, positive impact. By living a meaningful life, we can find contentment and joy even in the face of death."
70,"कबीरा जा देखू चला, न देखू कछु दोय।
एक हरि न देखू, दूजा कौन जग बोय।।","Kabir, wherever I go, I do not see anything else.
I see only the one divine being; who else is there in the world?","This doha expresses Kabir's realization of the omnipresence of the divine. He perceives the divine in everything and everyone, recognizing that there is no separation between the divine and the world around him. This doha encourages us to cultivate a similar spiritual awareness, seeing the divine in all aspects of our lives."
71,"कबीरा जीवन अनित्य है, बारंबार इह सीख।
ज्यों जल बिंदु कमल पत्र, न तैरत न बहत नीक।।","Kabir, life is impermanent, learn this again and again.
Like a water droplet on a lotus leaf, it neither floats nor sinks.","This doha highlights the transient nature of life, emphasizing the importance of being aware of life's impermanence. Just as a water droplet on a lotus leaf is neither floating nor sinking, life is in a state of delicate balance, and we must remain mindful of its fragile nature."
72,"कबीरा करता करता, भया नाम का चोर।
आवत जावत देखता, कछु नहीं चला तोर।।","Kabir, while doing actions, I became a thief of the divine name.
Watching the comings and goings, nothing could break me.","Kabir reveals that by constantly remembering the divine name, even while performing worldly actions, he has become 'a thief of the divine name.' This doha teaches us to remember and invoke the divine presence in all aspects of life, transcending the limitations of the material world."
73,"कबीरा कुछ करते करते, हाथ काम कच्छ।
अब कछु करते करते, हाथ काम कच्छ।।","Kabir, while doing something, the hands do work.
Now, while doing something, the hands do work.","This doha emphasizes the importance of action and engagement in the world. It encourages us to perform our duties and engage with life, rather than becoming passive or detached. The repetition in the doha underscores the continuous and ever-present nature of action."
74,"कबीरा लोगा से लहरी, लहरी से न दोय।
केवल राम नाम बिन, कोऊ नहीं जग सोय।।","Kabir, I am free from the waves of people, and the waves are not from me.
Without the divine name, no one in the world is at rest.","This doha reflects Kabir's detachment from the waves of worldly concerns and the influence of others. By focusing on the divine name, he remains at peace amidst the turbulence of life. This doha encourages us to cultivate a similar detachment and inner tranquility by relying on our spiritual practice."
75,"कबीरा मानस जन्म दुलभ है, होय न बारम्बार।
जब लगु चेतन नहीं आया, तब लगु मूढ़ा घबराय।।","Kabir, a human birth is rare, it does not happen again and again.
As long as one does not become aware, the fool remains anxious.","Kabir emphasizes the preciousness of human birth and the unique opportunity it presents for spiritual growth and self-realization. The doha encourages us to make the best use of this life by becoming aware of our true nature and seeking spiritual understanding, rather than wasting time in anxiety and worldly distractions."
76,"कबीरा मिट्टी कहे पुखरु, तुम क्या रोवहि धूल।
जब मैं रोया, तब कहां थे, अब कहां रोवत भूल।।","Kabir, the earth says to the pot, 'Why do you cry over dust? When I was crying, where were you? Now, where do you cry, forgetting?","Kabir, through the metaphor of the earth and the pot, highlights the impermanence of the material world and our misguided attachment to it. The pot is made from the earth, and one day it will return to the earth. The doha reminds us to not get overly attached to the physical world and instead focus on the eternal, spiritual reality."
77,"कबीरा नर जन्म पाया, प्राणी धर्म करि चित।
परचा न मिले नाम का, ता का करि करि बित।।","Kabir, having gained human birth, the living being should perform righteous deeds.
If one doesn't receive the divine name's grace, their life passes in vain.","The doha emphasizes the importance of righteous action and devotion to the divine name in human life. It cautions that if we don't strive to attain spiritual grace, our life would be wasted, reminding us to make the best use of our human existence."
78,"कबीरा निज घर मुख लागे, बाहरि देखन जाय।
जैसे घर में सुत बाहरि, पिंजरे को राखि प्रभाय।।","Kabir, one should focus on their inner self instead of looking outside.
Just as there is a child at home but the attention is on the cage outside.","Kabir emphasizes the importance of inner reflection and self-realization, rather than seeking happiness and fulfillment in external objects or circumstances. The doha uses the metaphor of a child and a cage to illustrate the idea that true contentment and peace can only be found within oneself."
79,"कबीरा नींद न आवे, तैसी करि जागि।
जिमि चोर के घर में, बिलखिये निरभय लागि।।","Kabir, if you cannot sleep, stay awake like this: Just as a thief enters a house fearlessly, trembling.","This doha encourages us to remain vigilant and alert in our spiritual practice, comparing the state of wakefulness to a fearless thief. The message is to be courageous and focused in our pursuit of spiritual growth and self-awareness, even in the face of obstacles and challenges."
80,"कबीरा पग धोये कैसे, कैसे धोये हाथ।
मन मैला सदा रहे, तो कैसे पावे व्रत।।","Kabir, how can one wash their feet and hands? If the mind remains impure, how can one attain spiritual discipline?","Kabir emphasizes the importance of inner purity rather than external rituals. He asks how one can attain spiritual progress by merely washing their hands and feet if the mind remains impure. This doha reminds us to focus on cleansing our minds and hearts through sincere spiritual practice, rather than relying on superficial acts of devotion."
81,"कबीरा पानी भरने गया, घट रहा किनारे।
जल को पकड़ि करत रहा, जल बहता जाय बारे।।","Kabir, I went to fill water, but the pot stayed at the shore.
Trying to hold the water, it kept flowing away.","This doha uses the metaphor of filling a pot with water to illustrate the futility of trying to grasp or hold onto the impermanent things in life. Just as water slips through our fingers, material possessions and experiences are transient and ever-changing. Kabir encourages us to focus on the eternal and unchanging spiritual reality instead."
82,"कबीरा पानी पीयत है, देखि पराई धर।
तन भीतर जब धोवत है, तब तो होत अपराध।।","Kabir, one drinks water, watching another's reflection.
When one washes the body inside, only then is it a sin.",Kabir highlights the importance of inner purity and self-awareness. He suggests that focusing on external appearances or the actions of others is misleading and superficial. True spiritual progress comes from cleansing our inner selves and recognizing our own faults and imperfections.
83,"कबीरा पिप्पल पिरवा बहुत, किनिहिं प्राणी कीए।
एक करेंगे जब वासा, तब काल लेइ लीए।।","Kabir, there are many banyan and sacred fig trees, but few creatures take shelter in them.
When one finally takes refuge, then death takes them away.","Kabir uses the metaphor of banyan and sacred fig trees to represent spiritual refuge and protection. He laments that few people seek shelter in spirituality, and when they finally do, death may be imminent. This doha reminds us of the importance of starting our spiritual journey early and not postponing it until later in life."
84,"कबीरा प्रेम गली अति सॉकरी, तामें दो न समाई।
जब मैं था तब हरि नहीं, अब हरि हैं मैं नाही।।","Kabir, the alley of love is extremely narrow, so narrow that two cannot fit.
When I was there, the divine was not; now the divine is present, and I am not.","Kabir describes the path of love and devotion as a narrow alley where only the devotee and the divine cannot coexist. He explains that when he was full of ego and self-identity, he could not experience the divine presence. But now, as he has let go of his ego, he experiences the divine within him. This doha emphasizes the importance of transcending the ego and surrendering to the divine in the path of love and devotion."
85,"कबीरा साधु बदइया, जो गुर की सरनै।
देखत सुनत सब हरि का, ज्ञानी दुख न पावै।।","Kabir, blessed is the devotee who seeks refuge in the Guru.
By seeing and hearing all as divine, the wise one never experiences suffering.","Kabir praises the devotee who takes shelter under a spiritual master and perceives everything as an expression of the divine. Such a wise person transcends suffering, as they recognize the underlying unity and divine presence in all experiences. This doha highlights the importance of seeking guidance from a spiritual teacher and cultivating an attitude of seeing the divine in everything."
86,"कबीरा साधु सँगति का, बलि बलि सदा बलि जाई।
कूकर देखि निज मुख को, तब ही सुखि रहे समाई।।","Kabir, I offer my strength to the company of the devout, always offering my strength.
Seeing a dog and reflecting on one's own face, only then can one live contentedly.","Kabir emphasizes the importance of being in the company of sincere spiritual seekers (satsang) and surrendering oneself to it. He uses the metaphor of a dog seeing its own reflection to illustrate the idea of self-reflection and humility. By practicing self-awareness and associating with like-minded individuals, we can find contentment and spiritual growth."
